x	y
Remind me at 7 pm for Zym	Found
Remind me around 4 that I have to book appointment at madona	Found
Is it possible to schedule for daily	Not Found
Thanks for your reminder!!!!	Not Found
Hi can you remind me to kill my manager in the second half	Found
Remind me 4:30 to send the person at jain marble today	Found
I just wanted to check the alarm	Found
Yes on my way thanks for multiple reminders	Not Found
Reminder for ticket booking at 10.45 AM	Found
Alarm for 11:13	Not Found
9.30	Not Found
Tomorrow at 1:00 pm remind me to take my pouch 👝 from lab	Found
How about your day?	Found
Good morning vandana	Not Found
Id prefer if u text rather than call	Found
Can you help me how I could set DND mode on my phone?	Found
Remind me on Tuesday again same	Found
I have a shopping list to be reminded at 6.40 pm	Not Found
8898749979	Not Found
Call clamp on ufm on monday	Found
Please set a general reminder at 11.00 am, 12.00 noon, 2.00 pm,4.00 pm ,5.00 pm and 8.00 pm	Not Found
Shraddha you remember me I am Sunita I fight it to you because you were just talking me so rudely and deleted your app I downloaded it again you remember me	Not Found
Please schedule reminder to go to floor at 9.22 P.m today	Found
Remind me to wash my hair every after 2 days	Found
Remind me to catch traine tomorrow at 10 pm	Found
Yes please remind me but in every 3 hours	Not Found
Set a reminder to this number 7200034149 at 4am."study"	Found
Thanks for reminding me....	Found
Set a reminder to watch the football match on saturday 6 pm	Found
Can yu give me information about	Found
One more reminder please	Not Found
Remind me to take tabs from medical	Found
Remind me for courier of draft to papa	Found
Bt how many reminders can I set at a time????	Not Found
I need multiple alarms	Not Found
VAT payment reminder	Not Found
Can you call for this	Not Found
Call me nw fr 5 minutes	Not Found
Pl set reminder after 20 min	Not Found
YA.... but I got morning to till evening reminder just.... so I asked	Not Found
Hey remind me at 3 to send my details to dr mukherjee.	Found
Remind me today at 5:25 pm to visit the lawyer	Found
Remind me to book ticket after 5min	Found
Remind me to give my friends earphones at 6:40	Found
Remind me to get the bottles at 9 p.m. today	Found
Remind about vendor for fascade at 11:15 am today.	Found
Remind me to take new register	Found
Title should be remind to collect cricket match tickets	Found
So what my schedule	Not Found
When ever there is any contest or anything related to photography on social media or any where I Must know about it.	Found
Yes How can I set a To Do List	Not Found
It's too late reminder	Not Found
Remind me to see dhruvs travel job	Found
Can you please remind me that I need to pick up my younger sisters from dance Institute and the timings 6 20 pm	Found
So now I have 2 alarm scheduled, right?	Not Found
Ok Remind me @7 that i need to make Daily revenue report DND Report Login time report	Found
PL remind me again @ 9:40pm today	Found
Can u pls remind me once one plus 3T - 64gb is available in amazon	Found
Can I get a call at 9.30 everyday?	Not Found
Remind me to leave for the railway station at 6	Found
Please remind me after 28 days that my data will expire	Found
Siddharth, remind me tomorrow to go for movie at 6:45	Found
Thnx manal. ..Can u plz remind me the same at 10pm tonight ?	Not Found
Can u remind me my task daily @9.30 a.m	Not Found
Yes sure	Not Found
I needed a stronger reminder	Not Found
Will you remind me for apply face wash for daily at 11:07 am and 06:03 pm except sunday	Found
Can u send send the list about the ATM and money withdrawal?	Found
Thnkew for d call i really appreciate it.	Found
Set a reminder	Not Found
Please set up a reminder for 31st Dec 2016 for me to resume back to Whats App and reactivate Facebook.	Found
I would like to know about you...?	Found
Please schedule for daily	Not Found
Whenever I need help I will tell you...	Found
Hey, can you remind me to wish someone on their birthday?	Found
Ur nt reminder to morning 😢	Not Found
Remind me to collect cheque after 10 days	Found
Remind me in the morning at 9AM	Not Found
Remind about Sri vidya at 4 pm tomorrow	Found
Please remind me to transfer money to my friend's account..	Found
Remind me to get pics	Found
Call me after every 5 minutes three times atleast please	Found
Please remind me to watch nat geo channel today at 9 pm.	Found
Thnk u fr reminders.	Not Found
Hi could you tell me if I can put a reminder which opens a website on a scheduled time?	Found
Bro call me at 6:00 pm today	Found
Hey remind me tomorrow morning at 9:30 am to make city bank credit card payment	Found
Do we need WiFi or mobile data on for remainders?	Found
tomorrow at 8 pm remind me to take my samsung head phone back	Found
Reminder watch UFC	Found
Hi Shraddha can u set a reminder to ping me around 6:30pm to go to Wellness and speak to Fitty?	Found
Change reminder	Not Found
Remind me tomorrow for laundry	Found
Set my another reminder every day	Found
Remind me to put in download at 11pm today.	Found
Can I have reminder calander for all mnth	Found
Please remind after one hour...	Not Found
Remind me to finish my project by 4pm	Found
Remind me to take b estate tomorrow	Found
Remind me to buy macbook today at 2:51 pm on 9049961794	Found
Already I set morning remainder	Not Found
Remind me to go to 232 at 9:30 pm tday	Found
Can you tell me a software for windows laptop which has following features 1. Data feeding with due dates, reminders 2. One click pending task lists; in addition these will help me more i.e. sharing task either thru mails or on lan. These were the essential features which I require.	Not Found
Meeting Reminder Date: November 10, 2016 Time: 6 00 PM Meeting with: raja Venue: library	Not Found
Also put 1 more reminder - Pay 6000 to sajid	Found
Remaind me November 10th 2016 at 10am	Not Found
Can you please tell me what reminders are set for me ?	Found
Remind me to cover the whole topic of civil	Not Found
Please set reminders from 6 PM to 3 AM	Not Found
9011523330	Not Found
reminder at 6.30 am and 6.35 am today	Not Found
you were supposed to remind me yesterday 8 pm	Not Found
Set an alarm every morning at 8am?	Not Found
Hey please remind me to leave office by 4	Found
28th night remind	Not Found
Thanks for your reminds	Not Found
remind me on 17th to go for voter id on 18th nov	Found
Ok lets set up wat to do list	Not Found
Should I switch on my net for reminder	Found
Remind me one day before	Not Found
Can u remind me on 1.55pm	Not Found
Reminder to set	Not Found
Remind me book a fight ticket(Dubai to chennai) before Wednesday	Found
I want reminder	Not Found
Remind me to fill the RBI form on 23rd at 8pm	Found
Can u make a call for me?	Not Found
Hi... I want to edit my reminder	Not Found
Can u get a call half n hr before	Not Found
Will something remind me to eat time to time	Found
is it possible to schedule on every sunday??	Found
What reminder is this???	Found
Want a everyday reminder at 3.00 P.M and at 8.00 P.M to massage pressure points on body.	Found
Remind me my darlings birthday which is on July 29	Found
Reminded me for 1102 flat painting with krishna	Found
Remind me to buy apples in 5 minutes	Found
Remind to transfer money in Karnataka bank	Found
How to delete this remainder	Found
Schedule those from tomorrow	Found
Remind me to wish Paushali on her birthday -25th Dec	Found
I'm sure is that day so remind me to find out the exact date tomorrow	Found
Is this one day reminder or everyday reminder?	Not Found
Please remind me tomorrow at 10:45 am to check if Mr.NP Acharya's cheque book has been sent back to the branch.	Found
Remind me to take dark chocolate to office	Found
Egg reminder	Not Found
I want to set up alarm ....2 min baad kaa	Found
Time to make your to-do list shorter, Alex! TASK - Cam and Bill payment reminder today at 2 pm	Found
Remind me to issue cheque on 5th Dec for credit card payment	Found
Can you set up a reminder for me?	Not Found
Remind me to study forum ias tomorrow 8pm	Found
Remind me to take my stethoscope at 12:30pm today	Found
Sorry send by mistakenly	Not Found
Supermoon reminder tonight	Not Found
I would like to set a reminder	Not Found
remind me this for booking... mention it's for booking	Found
Remind me i have a movie show booked for ten pm on Wednesday. Remind me at 2 pm and six pm on Wednesday 4th jan	Found
Plz set a reminder on 9th Nov 16 regarding mom's blood test 5pm & 10th Nov 16 9:30 am for the same.. Thanks	Not Found
Remind me at 9:40 to book my train ticket	Found
Pls remind me to take photographs and cheque leaf today evening by 8pm.	Found
Can you integrate my calendar with reminders	Not Found
Remind about narration to be given to and company on 10th dec at airoli	Found
Yes , that means after one hour remind you	Found
U need internet connection for reminder	Found
Hi. I want to set up a reminder	Not Found
please infrom me about cricket match at 2 pm	Found
I want to set an reminder of 8.45pm daily to pick my charger	Found
Can u remind me of my classes	Found
do call me in d morning at 6.10am	Not Found
Set at 7:20 and 7:30 pm today	Not Found
Can you schedule the alarm every day?	Not Found
Remind me for movie 2 pm	Found
What was the reminder set for at this time?	Not Found
How will you remind me???	Found
Reminder only in working days pls	Not Found
u called me tdy kya	Not Found
hi please set a consecutive reminder as on 6 AM, 6:30 AM & 7 AM 14th november 2016	Not Found
Remind me to remove the milk from the heat after 10 minutes	Found
Sincere thanks for continuous reminder	Not Found
Reminder of lic policy	Found
Kindly remind me on 30th Nov	Not Found
You can close the reminders hence forth	Not Found
Thank you for remind me at early morning	Not Found
Remind me to wash my hair this evening at around 7:30 p.m., please.	Found
Remind me at 11:30 am for connection of telephone	Found
Hey remind me at 1 pm to check white jigar bag	Found
Re. Schedule the alarm at 8 am daily	Found
Remind me 2 times. Once at 9 AM n again at 6 PM	Not Found
Remind me to do the reports.	Found
Also remind me about the bank work tomorrow morning at 9:15 am	Found
Remind me to check with bikash on indus ind bank	Found
Remind me to book tickets on 25 January for 25 may at 9 am	Found
I want to set one more reminder	Not Found
Please call me in gap of 3 hours	Not Found
Remind at 5.30 pm today to email Kshitij medical cards	Found
Remind me today at 5.45 pm to meet engineering works	Found
Set the reminder for 6 P.M	Not Found
Same reminder at 5.10 pm tomm.	Not Found
Remind me tomarrow morning 9:30am to collect my bag to office	Found
I haven't set any reminder	Not Found
Tell me about yourself	Found
Can u set me a reminder?	Not Found
Thanks for asking	Not Found
Remind me aftr 2 hrs	Not Found
Set me a remainder at 1:30 pm today	Not Found
Pls remind me	Not Found
Reminder for shopping on mantra at 8:30 pm	Found
Plz remind m tom mrng for dr appointmnt and car service	Found
In Transit: Just a reminder that your product ayeshafashion Twin Pew... with order id OD507673407676070000 is on its way and will reach you by Tuesday, 29 Nov'16. Track your order here http://fkrt.it/8ZtckTuuuN	Found
Remind me about it at 6pm today	Found
Also remind me on coming monday that i have meeting with jukaso manager at 11 am	Found
Plz set a reminder for me at 10 PM today for management hours	Found
Can u remind me 9 to 12 midnught	Not Found
Reminder for 940 pm today to get milk	Found
Remind me to ask akhil sir about one time cost excell sheet about renovation of office to be send to VG Sir	Found
Pls repaet of this reminder on 5 pm today	Not Found
I need to get a sound notification also to draw my attention to the reminder	Found
